Strain	Nitro	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR5	6	5	21	1	1,29	4	1	1636
CR5	6	5	21	1	1,29	4	2	1554
CR5	6	5	21	1	1,29	4	3	1696
CR5	8	5	21	1	1,29	4	1	1614
CR5	8	5	21	1	1,29	4	2	2402
CR5	8	5	21	1	1,29	4	3	1594
CR5	10	5	21	1	1,29	4	1	3241
CR5	10	5	21	1	1,29	4	2	3297
CR5	10	5	21	1	1,29	4	3	2830
CR5	20	5	21	1	1,29	4	1	3430
CR5	20	5	21	1	1,29	4	2	3147
CR5	20	5	21	1	1,29	4	3	3433
CR5	30	5	21	1	1,29	4	1	3531
CR5	30	5	21	1	1,29	4	2	3411
CR5	30	5	21	1	1,29	4	3	3260
CR6	1	5	21	1	1,29	4	1	1376
CR6	1	5	21	1	1,29	4	2	1612
CR6	1	5	21	1	1,29	4	3	1881
CR6	2	5	21	1	1,29	4	1	1984
CR6	2	5	21	1	1,29	4	2	2010
CR6	2	5	21	1	1,29	4	3	2370
CR6	4	5	21	1	1,29	4	1	2874
CR6	4	5	21	1	1,29	4	2	2742
CR6	4	5	21	1	1,29	4	3	1831
CR6	6	5	21	1	1,29	4	1	1540
CR6	6	5	21	1	1,29	4	2	1485
CR6	6	5	21	1	1,29	4	3	1962
CR6	8	5	21	1	1,29	4	1	2059
CR6	8	5	21	1	1,29	4	2	2315
CR6	8	5	21	1	1,29	4	3	2574
CR6	10	5	21	1	1,29	4	1	3466
CR6	10	5	21	1	1,29	4	2	3819
CR6	10	5	21	1	1,29	4	3	2842
CR6	20	5	21	1	1,29	4	1	3678
CR6	20	5	21	1	1,29	4	2	3161
CR6	20	5	21	1	1,29	4	3	3227
CR6	30	5	21	1	1,29	4	1	3234
CR6	30	5	21	1	1,29	4	2	3410
CR6	30	5	21	1	1,29	4	3	3325
CR1	1	5	21	1	1,29	5	1	96
CR1	1	5	21	1	1,29	5	2	108
CR1	1	5	21	1	1,29	5	3	112
CR1	2	5	21	1	1,29	5	1	311
CR1	2	5	21	1	1,29	5	2	318
CR1	2	5	21	1	1,29	5	3	305
CR1	4	5	21	1	1,29	5	1	276
CR1	4	5	21	1	1,29	5	2	289
CR1	4	5	21	1	1,29	5	3	351
CR1	6	5	21	1	1,29	5	1	393
CR1	6	5	21	1	1,29	5	2	453
CR1	6	5	21	1	1,29	5	3	404
CR1	8	5	21	1	1,29	5	1	457
CR1	8	5	21	1	1,29	5	2	473
CR1	8	5	21	1	1,29	5	3	448
CR1	10	5	21	1	1,29	5	1	711
CR1	10	5	21	1	1,29	5	2	668
CR1	10	5	21	1	1,29	5	3	679
CR1	20	5	21	1	1,29	5	1	679
CR1	20	5	21	1	1,29	5	2	679
CR1	20	5	21	1	1,29	5	3	693
CR1	30	5	21	1	1,29	5	1	775
CR1	30	5	21	1	1,29	5	2	754
CR1	30	5	21	1	1,29	5	3	799
CR2	1	5	21	1	1,29	5	1	784
CR2	1	5	21	1	1,29	5	2	744
CR2	1	5	21	1	1,29	5	3	740
CR2	2	5	21	1	1,29	5	1	823
CR2	2	5	21	1	1,29	5	2	738
CR2	2	5	21	1	1,29	5	3	741
CR2	4	5	21	1	1,29	5	1	1145
CR2	4	5	21	1	1,29	5	2	1041
CR2	4	5	21	1	1,29	5	3	1434
